,avatar,player_id,@id,url,name,username,title,followers,country,last_online,joined,status,is_streamer,verified,league,location,twitch_url,players.stats.url
0,https://images.chesscomfiles.com/uploads/v1/user/18800602.e26b721f.200x200o.e738019a328a.jpeg,18800602,https://api.chess.com/pub/player/123lt,https://www.chess.com/member/123lt,Tingjie Lei,123lt,GM,139,https://api.chess.com/pub/country/CN,1703685878,1410059361,premium,False,False,Stone,,,https://api.chess.com/pub/player/123lt
1,https://images.chesscomfiles.com/uploads/v1/user/29499974.39041f89.200x200o.f6478a5ae8e2.jpeg,29499974,https://api.chess.com/pub/player/124chess,https://www.chess.com/member/124chess,Дмитрий Хегай,124chess,GM,77,https://api.chess.com/pub/country/RU,1709089367,1471316272,premium,False,False,Bronze,Красноярск,,https://api.chess.com/pub/player/124chess
2,https://images.chesscomfiles.com/uploads/v1/user/30610578.e05f2196.200x200o.3948baec540a.jpeg,30610578,https://api.chess.com/pub/player/1977ivan,https://www.chess.com/member/1977Ivan,Ivan Ivanisevic,1977ivan,GM,193,https://api.chess.com/pub/country/RS,1709071186,1477565847,premium,False,False,Crystal,Belgrade,,https://api.chess.com/pub/player/1977ivan
3,https://images.chesscomfiles.com/uploads/v1/user/13013662.ad4c23f8.200x200o.da161572d8ed.jpeg,13013662,https://api.chess.com/pub/player/1stsecond,https://www.chess.com/member/1stSecond,Nikita Meshkovs,1stsecond,GM,565,https://api.chess.com/pub/country/LV,1709066169,1375617889,premium,False,False,Elite,Riga,,https://api.chess.com/pub/player/1stsecond
4,https://images.chesscomfiles.com/uploads/v1/user/69412324.a8a2af79.200x200o.f77e8743116c.jpeg,69412324,https://api.chess.com/pub/player/4thd-alpeacefulmoon,https://www.chess.com/member/4thD-alpeacefulmoon,Robert Markus,4thd-alpeacefulmoon,GM,8,https://api.chess.com/pub/country/RS,1706379687,1576488055,premium,False,False,Stone,,,https://api.chess.com/pub/player/4thd-alpeacefulmoon
5,,7246509,https://api.chess.com/pub/player/731291,https://www.chess.com/member/731291,Lance Henderson de La Fuente,731291,GM,46,https://api.chess.com/pub/country/ES,1704063358,1334046062,premium,False,False,Stone,,,https://api.chess.com/pub/player/731291
6,https://images.chesscomfiles.com/uploads/v1/user/43349734.452f442f.200x200o.7d507c9ece41.jpeg,43349734,https://api.chess.com/pub/player/a-adly,https://www.chess.com/member/A-Adly,Ahmed Adly,a-adly,GM,467,https://api.chess.com/pub/country/EG,1709088010,1518647998,premium,False,False,Silver,,,https://api.chess.com/pub/player/a-adly
7,https://images.chesscomfiles.com/uploads/v1/user/10968500.f31e4e06.200x200o.2418d3cb8a26.jpeg,10968500,https://api.chess.com/pub/player/a-fier,https://www.chess.com/member/A-Fier,Alex Fier,a-fier,GM,1466,https://api.chess.com/pub/country/BR,1709073573,1361966117,premium,True,False,Crystal,,,https://api.chess.com/pub/player/a-fier
8,https://images.chesscomfiles.com/uploads/v1/user/59828698.94a02ebe.200x200o.83213b57b80b.jpeg,59828698,https://api.chess.com/pub/player/abasovn,https://www.chess.com/member/AbasovN,Nijat Abasov,abasovn,GM,213,https://api.chess.com/pub/country/AZ,1709108387,1555281657,premium,False,False,Silver,Baku,,https://api.chess.com/pub/player/abasovn
9,https://images.chesscomfiles.com/uploads/v1/user/205859387.707620fc.200x200o.448146426a41.jpeg,205859387,https://api.chess.com/pub/player/abbasifarhassan,https://www.chess.com/member/AbbasifarHassan,Hassan Abbasifar,abbasifarhassan,GM,4,https://api.chess.com/pub/country/IR,1701621873,1668181858,premium,False,False,Bronze,Espain,,https://api.chess.com/pub/player/abbasifarhassan
10,,336295585,https://api.chess.com/pub/player/abbasovfarid1979,https://www.chess.com/member/AbbasovFarid1979,Farid Abbasov,abbasovfarid1979,GM,3,https://api.chess.com/pub/country/AZ,1708962228,1704199552,premium,False,False,Bronze,,,https://api.chess.com/pub/player/abbasovfarid1979
11,,39633960,https://api.chess.com/pub/player/abdimalik_abdisalimov,https://www.chess.com/member/Abdimalik_Abdisalimov,Abdimalik Abdisalimov,abdimalik_abdisalimov,GM,489,https://api.chess.com/pub/country/UZ,1709108034,1508573535,premium,False,False,Bronze,tashkent,,https://api.chess.com/pub/player/abdimalik_abdisalimov
12,,17884042,https://api.chess.com/pub/player/abhidabhi,https://www.chess.com/member/abhidabhi,Abhimanyu Puranik,abhidabhi,GM,617,https://api.chess.com/pub/country/IN,1708880375,1404098245,premium,False,False,Elite,,,https://api.chess.com/pub/player/abhidabhi
13,https://images.chesscomfiles.com/uploads/v1/user/78571890.c98197e5.200x200o.a777c92a4502.jpeg,78571890,https://api.chess.com/pub/player/abhijeetgupta,https://www.chess.com/member/abhijeetgupta,Abhijeet Gupta,abhijeetgupta,GM,772,https://api.chess.com/pub/country/IN,1683229754,1588606684,premium,False,False,Elite,,,https://api.chess.com/pub/player/abhijeetgupta
14,https://images.chesscomfiles.com/uploads/v1/user/11047160.a434fd29.200x200o.da4781c7e235.jpg,11047160,https://api.chess.com/pub/player/abhijeetgupta1016,https://www.chess.com/member/abhijeetgupta1016,Abhijeet Gupta,abhijeetgupta1016,GM,985,https://api.chess.com/pub/country/IN,1588598476,1362560986,premium,False,False,,,,https://api.chess.com/pub/player/abhijeetgupta1016
15,,90871188,https://api.chess.com/pub/player/abhijeetonyoutube,https://www.chess.com/member/Abhijeetonyoutube,,abhijeetonyoutube,GM,49,https://api.chess.com/pub/country/IN,1684045825,1599658917,premium,False,False,Wood,,,https://api.chess.com/pub/player/abhijeetonyoutube
16,https://images.chesscomfiles.com/uploads/v1/user/32069494.43d7b2ae.200x200o.d9eb4ec2dc96.jpeg,32069494,https://api.chess.com/pub/player/abhyak,https://www.chess.com/member/abhyak,Abhijeet Kunte,abhyak,GM,40,https://api.chess.com/pub/country/IN,1707533526,1483332783,premium,False,False,Silver,,,https://api.chess.com/pub/player/abhyak
17,,87538498,https://api.chess.com/pub/player/absentzest,https://www.chess.com/member/AbsentZest,,absentzest,GM,5,https://api.chess.com/pub/country/US,1643295007,1595686325,premium,False,False,Bronze,,,https://api.chess.com/pub/player/absentzest
